BuildingCode,Longitude,Latitude
2402000070,125.5854067,10.3217683
2402000072,125.5863533,10.3225033
2402000074,125.5852667,10.3219633
2402000076,125.5863067,10.3228433
2402000078,125.5851433,10.3215598
2402000080,125.5857467,10.3225833
2402000082,125.585155,10.32154
2402000085,125.5847636,10.3171234
2402000087,125.5847636,10.3171234
2402000089,125.5848597,10.3206139
2402000091,125.5848597,10.3206139
2402000093,125.5851509,10.3215298
2402000095,125.5847636,10.3171234
2402000097,125.5851433,10.3215598
2402000100,125.5851433,10.3215598
2402000102,125.5854022,10.321252
2402000104,125.5851547,10.3215648
2402000106,125.5847168,10.3190189
2402000108,125.5847939,10.3206301
2402000110,125.5842524,10.31910352
2402000114,125.5837379,10.3193289
2402000116,125.5837379,10.3193289
2402000118,125.5848628,10.3206121
2402000120,125.5849023,10.320649
2402000122,125.5857245,10.3216423
2402000124,125.5850222,10.3211593
2402000126,125.584641,10.3204218
2402000128,125.5851774,10.3215816
2402000130,125.5848707,10.320613
2402000132,125.5848596,10.3206064
2402000134,125.5859103,10.3209204
2402000138,125.5560476,10.3310527
2402000140,125.5563716,10.3309237
2402000142,125.5563551,10.3308386
2402000144,125.5564425,10.3306125
2402000148,125.556172,10.3309719
2402000150,125.5561871,10.3306898
2402000152,125.5563017,10.3307239
2402000155,125.5562757,10.3307116
2402000157,125.5562946,10.3307232
2402000161,125.5562282,10.3307323
2402000163,125.5558714,10.3306259
2402000165,125.5536978,10.3471879
2402000167,125.5536944,10.3472137
2402000171,125.5536985,10.3472182
2402000175,125.5536958,10.3471955
2402000177,125.5534556,10.3465312
2402000179,125.5534117,10.3465618
2402000181,125.5532141,10.3466342
2402000183,125.55339,10.3465873
2402000186,125.5534254,10.3465405
2402000190,125.5534709,10.3465031
2402000192,125.5534872,10.3464605
2402000195,125.5534983,10.3464497
2402000198,125.5534574,10.3465208
2402000202,125.5534081,10.3472838
2402000205,125.5534099,10.3465763
2402000208,125.5534505,10.3465401
2402000210,125.553461,10.3475917
2402000212,125.5534164,10.3465662
2402000214,125.5848555,10.3197562
2402000216,125.5848125,10.3192999
2402000218,125.584775,10.3189915
2402000221,125.584775,10.3189915
2402000223,125.58474,10.3188002
2402000225,125.5847636,10.3171234
2402000227,125.5847852,10.3192522
2402000229,125.5847852,10.3192522
2402000231,125.5847944,10.3189755
2402000234,125.5847636,10.3171234
2402000238,125.5847682,10.3189321
2402000240,125.5847034,10.3190283
2402000242,125.5847244,10.3190261
2402000244,125.5847636,10.3171234
2402000246,125.5847431,10.3188127
2402000248,125.5847636,10.3171234
2402000250,125.5874987,10.3129232
2402000252,125.5874987,10.3129232
2402000254,125.5837379,10.3193289
2402000257,125.5874987,10.3129232
2402000262,125.5856765,10.3206569
2402000264,125.5847434,10.3187164
2402000266,125.5847311,10.3188054
2402000268,125.5555477,10.32757003
2402000271,125.584975,10.3195233
2402000273,125.5846683,10.3197167
2402000275,125.5851867,10.3194267
2402000277,125.5850333,10.3192483
2402000279,125.5849217,10.3193133
2402000281,125.58536,10.31842
2402000283,125.58437,10.3188867
2402000285,125.5847786,10.3189532
2402000287,125.5847865,10.3190511
2402000289,125.5847167,10.3190492
2402000293,125.5847636,10.3171234
2402000300,125.5536184,10.3474514
2402000302,125.5538383,10.347135
2402000305,125.5534683,10.34651
2402000307,125.553665,10.347145
2402000309,125.5562623,10.33964473
2402002108,125.6209486,10.2563497
2402002154,125.5584333,10.3275625
2402002155,125.5594593,10.326543
2402002156,125.5584333,10.3275625
2402002157,125.5594593,10.326543
2402002158,125.5594593,10.326543
2402002159,125.5584333,10.3275625
2402002160,125.5584333,10.3275625
2402002161,125.5584333,10.3275625
2402002162,125.5584333,10.3275625
2402002163,125.5584333,10.3275625
2402002164,125.5594593,10.326543
2402002165,125.5594593,10.326543
2402002166,125.5580913,10.3231552
2402002167,125.5584333,10.3275625
2402002168,125.5645892,10.3235229
2402002169,125.5584333,10.3269691
2402002189,125.5506679,10.31962423
2402002190,125.5573599,10.3264005
2402002191,125.5575886,10.3267668
2402002192,125.5573479,10.3267478
2402002193,125.5572987,10.3266404
2402002194,125.5573014,10.3265678
2402002202,125.5847636,10.3171234
2402002204,125.5847636,10.3171234
2402002205,125.5847636,10.3171234
2402002206,125.5847636,10.3171234
2402002208,125.5847636,10.3171234
2402002209,125.5847636,10.3171234
2402002210,125.5839232,10.3190982
2402002212,125.584696,10.3203703
2402002213,125.5846954,10.3203742
2402002214,125.5844076,10.3191257
2402002215,125.5841382,10.3192006
2402002216,125.5840344,10.3193166
2402002218,125.5847636,10.3171234
2402002219,125.5847636,10.3171234
2402002220,125.5846156,10.3189631
2402002221,125.584487,10.3190325
2402002222,125.5847636,10.3171234
2402002223,125.584779,10.318994
2402002225,125.5827794,10.318619
2402002226,125.584345,10.3199331
2402002227,125.584345,10.3199331
2402002228,125.584345,10.3199331
2402002229,125.584345,10.3199331
2402002230,125.5839037,10.3191752
2402002231,125.5843182,10.3200067
2402002233,125.5828733,10.3188227
2402002234,125.5809945,10.3195611
2402002235,125.5847636,10.3168268
2402002236,125.5847636,10.3168268
2402002270,125.6214606,10.2563808
2402002271,125.6214606,10.2563808
2402002272,125.6214606,10.2563808
2402002273,125.6214606,10.2563808
2402002274,125.6214606,10.2563808
2402002275,125.6214606,10.2563808
2402002276,125.6214606,10.2563808
2402002277,125.6214606,10.2563808
2402002278,125.6272974,10.2570301
2402002279,125.6272974,10.2570301
2402002280,125.6272974,10.2570301
2402002281,125.6272974,10.2570301
2402002282,125.6272991,10.2572823
2402002283,125.6272991,10.2572823
2402002284,125.6272991,10.2572823
2402002285,125.6270536,10.2567384
2402002286,125.6197668,10.25654365
2402002287,125.6205588,10.25659547
2402002288,125.6205689,10.25654269
2402002308,125.557466,10.3256242
2402002309,125.5574287,10.3265205
2402002310,125.5572629,10.3261045
2402002311,125.5572546,10.3261339
2402002313,125.5576068,10.3258193
2402002314,125.5572989,10.3261237
2402002315,125.5575341,10.3257384
2402002316,125.5573949,10.3256806
2402002317,125.5595852,10.3266365
2402002318,125.557256,10.3262015
2402002319,125.5571782,10.3258916
2402002320,125.5576823,10.3257102
2402002321,125.5565084,10.3262676
2402002322,125.5571201,10.3256314
2402002324,125.5567278,10.3268369
2402002325,125.5572218,10.3264479
2402002326,125.5567034,10.3268703
2402002327,125.5566853,10.3268677
2402002328,125.5566817,10.3268308
2402002329,125.5567212,10.3268692
2402002330,125.5188121,10.30911756
2402002332,125.5188141,10.30911551
2402002333,125.5566915,10.3268623
2402002334,125.5567244,10.326868
2402002335,125.5567018,10.3268722
2402002336,125.5566615,10.3268691
2402002337,125.556678,10.3268557
2402002338,125.5562921,10.3267157
2402002339,125.5572474,10.3263462
2402002341,125.5572382,10.3263052
2402002342,125.5572302,10.326389
2402002343,125.5572146,10.3263997
2402002344,125.5572132,10.3263961
2402002345,125.5572403,10.3262452
2402002346,125.5572612,10.3261672
2402002347,125.5590037,10.3258374
2402002348,125.5571603,10.3259943
2402002351,125.5557128,10.3272156
2402002353,125.5558402,10.3276109
2402002354,125.5560863,10.3263881
